Model,Dataset,Metric,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,Epoch21,Epoch22,Epoch23,Epoch24,Epoch25,Epoch26,Epoch27,Epoch28,Epoch29,Epoch30,Epoch31,Epoch32,Epoch33,Epoch34,Epoch35,Epoch36,Epoch37,Epoch38,Epoch39,Epoch40,Epoch41,Epoch42,Epoch43,Epoch44,Epoch45,Epoch46,Epoch47,Epoch48,Epoch49,Epoch50
CNN,200kMDID,Val Acc,0.9366,0.9406,0.9562,0.9569,0.9615,0.9657,0.9656,0.9681,0.9687,0.9668,0.9692,0.9707,0.9699,0.9668,0.9712,0.9715,0.9721,0.9709,0.9679,0.9672,0.9698,0.9655,0.9708,0.971,0.9683,0.9701,0.971,0.9711,0.9719,0.9717,0.9707,0.9678,0.9702,0.971,0.9718,0.9725,0.9702,0.9696,0.9698,0.969,0.9657,0.9711,0.97,0.9705,0.9675,0.9714,0.9712,0.9709,0.9674,0.9673
CNN,200kMDID,Val Precision,0.9479,0.9336,0.9616,0.9422,0.9642,0.9766,0.9706,0.9625,0.965,0.9572,0.9766,0.9718,0.9663,0.9705,0.9676,0.9683,0.9744,0.9731,0.973,0.9623,0.9821,0.9842,0.9669,0.9669,0.9657,0.9598,0.971,0.9719,0.9731,0.9724,0.969,0.9667,0.972,0.98,0.9714,0.9713,0.9765,0.9707,0.9678,0.9765,0.9683,0.9671,0.9743,0.9708,0.9787,0.9741,0.9679,0.9695,0.9709,0.97
CNN,200kMDID,Val Recall,0.9239,0.9487,0.9504,0.9735,0.9586,0.9544,0.9602,0.9741,0.9727,0.9774,0.9615,0.9696,0.9738,0.9629,0.975,0.975,0.9697,0.9687,0.9626,0.9725,0.9571,0.9461,0.9749,0.9755,0.971,0.9814,0.9709,0.9701,0.9707,0.9708,0.9726,0.9689,0.9683,0.9617,0.9721,0.9738,0.9637,0.9685,0.9719,0.9612,0.9629,0.9755,0.9656,0.9701,0.9558,0.9686,0.9748,0.9725,0.9637,0.9644
CNN,200kMDID,Val F1,0.9358,0.9411,0.9559,0.9576,0.9614,0.9654,0.9654,0.9683,0.9688,0.9671,0.969,0.9707,0.97,0.9667,0.9713,0.9716,0.972,0.9709,0.9678,0.9674,0.9694,0.9648,0.9709,0.9712,0.9684,0.9705,0.971,0.971,0.9719,0.9716,0.9708,0.9678,0.9701,0.9708,0.9718,0.9726,0.97,0.9696,0.9699,0.9688,0.9656,0.9713,0.9699,0.9705,0.9671,0.9713,0.9714,0.971,0.9673,0.9672
CNN,200kMDID,Val AUC,0.9897,0.9899,0.9942,0.9951,0.9952,0.9963,0.9959,0.9963,0.9965,0.9959,0.9965,0.9967,0.9964,0.9962,0.9969,0.9967,0.9969,0.9965,0.9961,0.996,0.9967,0.9962,0.9968,0.9966,0.9962,0.9968,0.9966,0.9965,0.9968,0.9969,0.9966,0.9961,0.9965,0.9971,0.9966,0.9969,0.9966,0.9964,0.9958,0.9965,0.9957,0.997,0.9965,0.9965,0.9965,0.9966,0.9967,0.9966,0.996,0.9958
CNN,200kMDID,Val AP,0.9903,0.9902,0.9945,0.9953,0.9954,0.9964,0.9961,0.9964,0.9965,0.9961,0.996,0.996,0.9965,0.9963,0.997,0.996,0.997,0.9965,0.9962,0.996,0.9968,0.9963,0.9969,0.9967,0.9964,0.997,0.9968,0.9967,0.9969,0.997,0.9968,0.9963,0.9966,0.9972,0.9966,0.997,0.9966,0.9963,0.9958,0.9966,0.9958,0.997,0.9967,0.9966,0.9967,0.9968,0.9968,0.9967,0.9961,0.9959
CNN,200kMDID,Train Acc,0.9017,0.9459,0.9588,0.9685,0.9759,0.9808,0.9837,0.9857,0.9874,0.9893,0.9898,0.9911,0.9917,0.9923,0.9928,0.9935,0.9941,0.9943,0.9947,0.995,0.9953,0.9956,0.9955,0.9957,0.9962,0.9962,0.9964,0.9966,0.9966,0.9968,0.9967,0.9969,0.9972,0.997,0.9972,0.9972,0.9975,0.9972,0.9973,0.9977,0.9975,0.9978,0.9975,0.9979,0.9979,0.998,0.9978,0.9977,0.9981,0.9978
CNN,200kMDID,Train Precision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN,200kMDID,Train Loss,878.5011,490.2081,384.283,311.3972,251.4452,212.8781,179.3422,157.9992,141.2485,127.6097,116.8917,107.5535,100.048,89.4643,86.3972,79.9998,73.858,72.4197,69.5093,63.9802,62.3778,57.1547,57.7317,54.1439,49.8583,50.7555,46.5411,48.22,46.3169,44.4053,44.183,43.2349,37.87,41.9229,38.4874,39.544,34.1077,36.4629,35.1581,31.6589,33.075,32.2136,34.3295,28.7277,31.5601,28.5613,31.5125,31.1251,27.8878,30.9339
CNN,OpenForensics,Val Acc,0.972,0.9815,0.9778,0.9862,0.9821,0.982,0.9844,0.9824,0.9788,0.9779,0.9843,0.9806,0.983,0.9859,0.9841,0.9814,0.9823,0.9855,0.9868,0.9852,0.9838,0.986,0.9821,0.9807,0.9842,0.9826,0.9855,0.9804,0.9704,0.9858,0.9815,0.986,0.9795,0.984,0.985,0.985,0.9832,0.9833,0.984,0.9843,0.9848,0.9846,0.9812,0.9839,0.9823,0.9833,0.9853,0.9845,0.9826,0.9823
